id_cliente,fecha,tipo_alarma,gravedad
CL0001,2024-01-24,Tapa Abierta,Baja
CL0001,2024-06-16,Precinto Roto,Media
CL0006,2024-06-19,Error Comunicación,Crítica
CL0009,2024-02-28,Magneto Detectado,Media
CL0010,2024-04-24,Error Comunicación,Baja
CL0013,2024-02-05,Error Comunicación,Baja
CL0014,2024-05-09,Caída Brusca,Baja
CL0014,2024-04-01,Precinto Roto,Alta
CL0024,2024-01-16,Tapa Abierta,Alta
CL0027,2024-03-22,Consumo Cero,Baja
CL0027,2024-01-29,Consumo Cero,Baja
CL0028,2024-03-11,Error Comunicación,Media
CL0028,2024-04-19,Error Comunicación,Crítica
CL0028,2024-06-10,Tapa Abierta,Baja
CL0033,2024-02-05,Bypass Detectado,Baja
CL0035,2024-04-23,Tapa Abierta,Crítica
CL0038,2024-03-19,Magneto Detectado,Media
CL0040,2024-02-26,Tapa Abierta,Alta
CL0049,2024-03-25,Error Comunicación,Baja
CL0050,2024-01-21,Error Comunicación,Alta
CL0052,2024-05-05,Error Comunicación,Baja
CL0053,2024-02-27,Tapa Abierta,Alta
CL0053,2024-04-16,Caída Brusca,Media
CL0055,2024-04-18,Precinto Roto,Media
CL0058,2024-03-31,Bypass Detectado,Alta
CL0060,2024-06-21,Precinto Roto,Baja
CL0061,2024-06-14,Precinto Roto,Baja
CL0068,2024-04-12,Bypass Detectado,Media
CL0070,2024-04-20,Precinto Roto,Baja
CL0072,2024-01-28,Tapa Abierta,Baja
CL0075,2024-05-11,Error Comunicación,Media
CL0078,2024-01-10,Precinto Roto,Baja
CL0080,2024-06-03,Error Comunicación,Media
CL0081,2024-02-23,Bypass Detectado,Media
CL0081,2024-04-11,Caída Brusca,Alta
CL0085,2024-02-13,Tapa Abierta,Baja
CL0086,2024-05-09,Magneto Detectado,Crítica
CL0093,2024-04-02,Tapa Abierta,Baja
CL0095,2024-04-26,Magneto Detectado,Baja
CL0096,2024-02-13,Caída Brusca,Baja
CL0097,2024-06-13,Magneto Detectado,Baja
CL0098,2024-04-10,Tapa Abierta,Baja
CL0100,2024-05-09,Consumo Cero,Baja
CL0106,2024-05-14,Bypass Detectado,Media
CL0108,2024-06-19,Error Comunicación,Media
CL0109,2024-01-03,Magneto Detectado,Alta
CL0111,2024-04-09,Tapa Abierta,Baja
CL0118,2024-05-04,Consumo Cero,Alta
CL0119,2024-06-09,Error Comunicación,Media
CL0121,2024-02-24,Caída Brusca,Baja
CL0123,2024-03-29,Magneto Detectado,Alta
CL0126,2024-05-05,Magneto Detectado,Alta
CL0133,2024-04-27,Tapa Abierta,Baja
CL0134,2024-04-04,Consumo Cero,Baja
