id_cliente,nombre,tipo_cliente,potencia_contratada,sector,tarifa,zona_riesgo,fecha_alta
CL0001,Cliente_1,Comercial,26.6,Sur,T1,False,2021-01-09
CL0002,Cliente_2,Comercial,21.3,Centro,T3,False,2022-11-07
CL0003,Cliente_3,Residencial,3.0,Norte,T3,False,2022-01-03
CL0004,Cliente_4,Comercial,19.9,Este,T1,False,2022-12-12
CL0005,Cliente_5,Residencial,7.4,Este,T3,False,2021-08-27
CL0006,Cliente_6,Residencial,8.0,Sur,T2,False,2022-05-07
CL0007,Cliente_7,Industrial,75.1,Oeste,T3,False,2021-03-20
CL0008,Cliente_8,Residencial,4.5,Oeste,T4,False,2022-09-09
CL0009,Cliente_9,Residencial,3.0,Sur,T2,False,2022-04-08
CL0010,Cliente_10,Residencial,7.9,Oeste,T2,False,2021-04-15
CL0011,Cliente_11,Residencial,6.7,Oeste,T2,False,2021-07-27
CL0012,Cliente_12,Comercial,16.8,Norte,T1,False,2021-10-08
CL0013,Cliente_13,Restaurante,21.6,Oeste,T1,False,2021-04-07
CL0014,Cliente_14,Comercial,27.8,Sur,T2,False,2022-11-17
CL0015,Cliente_15,Residencial,3.6,Oeste,T1,False,2022-11-21
CL0016,Cliente_16,Residencial,4.1,Oeste,T4,False,2022-03-09
CL0017,Cliente_17,Comercial,13.2,Norte,T1,False,2022-06-28
CL0018,Cliente_18,Comercial,28.1,Norte,T3,False,2022-11-28
CL0019,Cliente_19,Comercial,26.5,Norte,T1,False,2021-05-21
CL0020,Cliente_20,Residencial,7.0,Norte,T4,False,2021-03-15
CL0021,Cliente_21,Residencial,8.1,Sur,T4,False,2021-08-16
CL0022,Cliente_22,Comercial,20.8,Centro,T3,False,2022-11-24
CL0023,Cliente_23,Residencial,6.3,Oeste,T3,False,2022-11-23
CL0024,Cliente_24,Comercial,17.1,Este,T3,False,2021-11-10
CL0025,Cliente_25,Comercial,15.1,Oeste,T1,False,2022-06-17
CL0026,Cliente_26,Residencial,5.9,Centro,T3,False,2021-03-25
