id_cliente,fecha,consumo_kwh,tipo_lectura
CL0001,2024-01-01,37.3,Real
CL0001,2024-01-02,63.0,Real
CL0001,2024-01-03,47.21,Real
CL0001,2024-01-04,46.89,Real
CL0001,2024-01-05,48.83,Estimada
CL0001,2024-01-06,20.59,Real
CL0001,2024-01-07,49.11,Real
CL0001,2024-01-08,42.28,Real
CL0001,2024-01-09,49.49,Real
CL0001,2024-01-10,29.96,Real
CL0001,2024-01-11,31.45,Real
CL0001,2024-01-12,35.5,Real
CL0001,2024-01-13,51.58,Real
CL0001,2024-01-14,24.8,Real
CL0001,2024-01-15,50.62,Real
CL0001,2024-01-16,54.07,Real
CL0001,2024-01-17,38.88,Estimada
CL0001,2024-01-18,47.62,Estimada
CL0001,2024-01-19,40.47,Real
CL0001,2024-01-20,24.37,Real
CL0001,2024-01-21,22.44,Real
CL0001,2024-01-22,43.23,Estimada
CL0001,2024-01-23,41.35,Real
CL0001,2024-01-24,55.43,Real
CL0001,2024-01-25,43.21,Real
CL0001,2024-01-26,29.35,Real
CL0001,2024-01-27,30.52,Real
CL0001,2024-01-28,36.4,Real
CL0001,2024-01-29,49.81,Real
CL0001,2024-01-30,35.78,Real
CL0001,2024-01-31,50.05,Real
CL0001,2024-02-01,35.8,Real
CL0001,2024-02-02,52.92,Estimada
CL0001,2024-02-03,29.55,Real
CL0001,2024-02-04,25.84,Real
CL0001,2024-02-05,28.27,Real
CL0001,2024-02-06,29.22,Real
CL0001,2024-02-07,19.53,Real
CL0001,2024-02-08,41.01,Real
CL0001,2024-02-09,44.91,Real
CL0001,2024-02-10,22.43,Real
CL0001,2024-02-11,39.44,Real
CL0001,2024-02-12,37.11,Real
CL0001,2024-02-13,30.97,Real
CL0001,2024-02-14,21.81,Real
CL0001,2024-02-15,14.83,Real
CL0001,2024-02-16,49.67,Real
CL0001,2024-02-17,26.04,Real
CL0001,2024-02-18,29.02,Estimada
CL0001,2024-02-19,28.68,Real
CL0001,2024-02-20,36.9,Real
CL0001,2024-02-21,42.71,Real
CL0001,2024-02-22,56.59,Real
CL0001,2024-02-23,53.19,Real
CL0001,2024-02-24,25.6,Real
CL0001,2024-02-25,37.62,Real
CL0001,2024-02-26,28.74,Real
CL0001,2024-02-27,33.77,Estimada
CL0001,2024-02-28,43.16,Real
CL0001,2024-02-29,24.06,Real
CL0001,2024-03-01,49.67,Real
CL0001,2024-03-02,34.31,Real
CL0001,2024-03-03,29.64,Real
CL0001,2024-03-04,34.86,Real
CL0001,2024-03-05,22.51,Real
CL0001,2024-03-06,41.59,Estimada
CL0001,2024-03-07,27.24,Real
CL0001,2024-03-08,30.5,Real
CL0001,2024-03-09,21.95,Real
CL0001,2024-03-10,30.23,Estimada
CL0001,2024-03-11,44.59,Real
CL0001,2024-03-12,29.86,Real
CL0001,2024-03-13,17.48,Real
CL0001,2024-03-14,18.35,Real
CL0001,2024-03-15,34.28,Real
CL0001,2024-03-16,42.04,Real
CL0001,2024-03-17,37.36,Real
CL0001,2024-03-18,48.33,Real
CL0001,2024-03-19,29.27,Real
CL0001,2024-03-20,21.34,Real
CL0001,2024-03-21,51.88,Real
CL0001,2024-03-22,40.83,Real
CL0001,2024-03-23,12.64,Real
CL0001,2024-03-24,23.22,Real
CL0001,2024-03-25,36.91,Real
CL0001,2024-03-26,25.26,Real
CL0001,2024-03-27,36.17,Real
CL0001,2024-03-28,41.95,Real
CL0001,2024-03-29,30.04,Real
CL0001,2024-03-30,15.79,Real
CL0001,2024-03-31,35.56,Real
CL0001,2024-04-01,45.04,Real
CL0001,2024-04-02,39.58,Real
CL0001,2024-04-03,32.5,Real
CL0001,2024-04-04,43.76,Real
