id_cliente,fecha_emision,fecha_vencimiento,consumo_kwh,monto_total,monto_pagado,estado_pago,dias_mora
CL0001,2024-01-02,2024-02-01,345.48,64.36,37.51,Pendiente,949
CL0001,2024-02-04,2024-03-05,564.06,94.26,82.91,Pagado,0
CL0001,2024-03-09,2024-04-08,446.12,84.03,44.31,Pendiente,882
CL0001,2024-04-05,2024-05-05,596.24,105.02,54.19,Pendiente,855
CL0001,2024-05-07,2024-06-06,626.44,108.29,66.99,Pendiente,823
CL0001,2024-06-04,2024-07-04,690.42,124.27,77.54,Pendiente,795
CL0002,2024-01-06,2024-02-05,802.54,196.69,154.65,Pendiente,945
CL0002,2024-02-08,2024-03-09,481.57,128.32,123.46,Pagado,0
CL0002,2024-03-07,2024-04-06,370.63,89.76,82.68,Pagado,0
CL0002,2024-04-05,2024-05-05,214.0,65.79,51.03,Pendiente,855
CL0002,2024-05-02,2024-06-01,504.51,130.12,69.08,Pendiente,828
CL0002,2024-06-06,2024-07-06,601.11,148.39,97.02,Pendiente,793
CL0003,2024-01-03,2024-02-02,295.58,94.7,77.14,Pagado,0
CL0003,2024-02-05,2024-03-06,355.28,89.6,56.45,Pendiente,915
CL0003,2024-03-05,2024-04-04,237.41,67.03,58.17,Pagado,0
CL0003,2024-04-04,2024-05-04,287.27,79.74,49.32,Pendiente,856
CL0003,2024-05-04,2024-06-03,722.47,169.26,95.67,Pendiente,826
CL0003,2024-06-03,2024-07-03,567.97,146.82,115.77,Pendiente,796
CL0004,2024-01-08,2024-02-07,539.73,110.57,68.29,Pendiente,943
CL0004,2024-02-09,2024-03-10,510.53,101.72,71.01,Pendiente,911
CL0004,2024-03-05,2024-04-04,487.58,80.68,78.7,Pagado,0
CL0004,2024-04-04,2024-05-04,668.68,128.73,124.53,Pagado,0
CL0004,2024-05-03,2024-06-02,444.29,76.77,67.65,Pagado,0
CL0004,2024-06-08,2024-07-08,329.97,64.4,44.87,Pendiente,791
CL0005,2024-01-04,2024-02-03,583.31,134.71,112.87,Pagado,0
CL0005,2024-02-08,2024-03-09,425.08,117.16,63.67,Pendiente,912
CL0005,2024-03-06,2024-04-05,331.06,100.27,97.79,Pagado,0
CL0005,2024-04-09,2024-05-09,508.57,126.54,70.68,Pendiente,851
CL0005,2024-05-08,2024-06-07,429.59,121.79,66.13,Pendiente,822
CL0005,2024-06-08,2024-07-08,318.81,92.44,63.81,Pendiente,791
CL0006,2024-01-03,2024-02-02,662.41,131.32,115.65,Pagado,0
CL0006,2024-02-01,2024-03-02,246.13,64.11,36.71,Pendiente,919
CL0006,2024-03-04,2024-04-03,419.31,99.57,95.06,Pagado,0
CL0006,2024-04-06,2024-05-06,617.02,125.86,102.11,Pagado,0
CL0006,2024-05-05,2024-06-04,499.18,104.32,83.86,Pagado,0
CL0006,2024-06-08,2024-07-08,538.16,111.6,101.07,Pagado,0
CL0007,2024-01-06,2024-02-05,406.52,101.43,55.23,Pendiente,945
CL0007,2024-02-05,2024-03-06,313.68,97.93,94.09,Pagado,0
CL0007,2024-03-03,2024-04-02,860.19,211.99,115.06,Pendiente,888
CL0007,2024-04-02,2024-05-02,310.18,81.54,43.06,Pendiente,858
CL0007,2024-05-06,2024-06-05,226.92,78.02,56.02,Pendiente,824
CL0007,2024-06-07,2024-07-07,575.77,153.97,125.3,Pagado,0
CL0008,2024-01-03,2024-02-02,500.15,131.96,83.03,Pendiente,948
CL0008,2024-02-06,2024-03-07,358.09,117.72,74.5,Pendiente,914
CL0008,2024-03-03,2024-04-02,561.01,154.21,93.5,Pendiente,888
CL0008,2024-04-09,2024-05-09,673.59,194.13,97.88,Pendiente,851
CL0008,2024-05-03,2024-06-02,635.53,184.91,155.27,Pagado,0
CL0008,2024-05-31,2024-06-30,440.95,125.43,120.67,Pagado,0
CL0009,2024-01-10,2024-02-09,309.44,73.95,46.8,Pendiente,941
CL0009,2024-02-09,2024-03-10,329.73,71.72,64.06,Pagado,0
CL0009,2024-03-08,2024-04-07,825.88,163.66,84.59,Pendiente,883
CL0009,2024-04-07,2024-05-07,776.37,157.71,99.37,Pendiente,853
CL0009,2024-05-07,2024-06-06,612.12,123.1,104.56,Pagado,0
CL0009,2024-05-31,2024-06-30,701.69,143.79,72.08,Pendiente,799
CL0010,2024-01-07,2024-02-06,839.02,159.33,135.54,Pagado,0
CL0010,2024-02-05,2024-03-06,424.95,102.58,55.67,Pendiente,915
CL0010,2024-03-04,2024-04-03,751.96,162.27,121.07,Pendiente,887
CL0010,2024-04-04,2024-05-04,208.74,44.02,40.89,Pagado,0
CL0010,2024-05-02,2024-06-01,573.24,131.18,87.94,Pendiente,828
CL0010,2024-06-07,2024-07-07,365.2,71.37,58.73,Pagado,0
CL0011,2024-01-02,2024-02-01,308.74,77.61,61.6,Pendiente,949
CL0011,2024-02-07,2024-03-08,267.47,72.27,36.96,Pendiente,913
CL0011,2024-03-03,2024-04-02,271.84,72.51,65.23,Pagado,0
CL0011,2024-04-07,2024-05-07,548.2,105.25,104.02,Pagado,0
CL0011,2024-05-03,2024-06-02,266.74,63.03,43.8,Pendiente,827
CL0011,2024-06-05,2024-07-05,433.25,83.56,67.76,Pagado,0
CL0012,2024-01-08,2024-02-07,174.91,35.13,23.28,Pendiente,943
CL0012,2024-02-07,2024-03-08,764.69,129.67,107.28,Pagado,0
CL0012,2024-03-07,2024-04-06,173.21,54.91,47.61,Pagado,0
CL0012,2024-04-09,2024-05-09,866.16,136.23,109.3,Pagado,0
CL0012,2024-05-09,2024-06-08,595.14,99.35,83.57,Pagado,0
CL0012,2024-06-02,2024-07-02,802.19,134.65,131.03,Pagado,0
CL0013,2024-01-06,2024-02-05,467.11,91.31,55.43,Pendiente,945
CL0013,2024-02-05,2024-03-06,832.32,134.07,108.87,Pagado,0
CL0013,2024-03-08,2024-04-07,373.43,68.87,48.35,Pendiente,883
CL0013,2024-04-05,2024-05-05,638.42,112.1,83.05,Pendiente,855
CL0013,2024-05-06,2024-06-05,247.82,61.29,52.53,Pagado,0
CL0013,2024-06-06,2024-07-06,756.99,140.78,77.06,Pendiente,793
CL0014,2024-01-07,2024-02-06,502.61,120.25,76.25,Pendiente,944
CL0014,2024-02-09,2024-03-10,298.09,64.3,55.05,Pagado,0
CL0014,2024-03-02,2024-04-01,686.26,141.91,98.03,Pendiente,889
CL0014,2024-04-08,2024-05-08,669.79,131.95,88.15,Pendiente,852
CL0014,2024-05-04,2024-06-03,488.19,110.26,106.95,Pagado,0
CL0014,2024-06-02,2024-07-02,202.22,42.63,36.6,Pagado,0
CL0015,2024-01-04,2024-02-03,446.44,73.81,71.51,Pagado,0
CL0015,2024-02-05,2024-03-06,379.25,80.89,52.72,Pendiente,915
CL0015,2024-03-05,2024-04-04,527.43,102.78,77.91,Pendiente,886
CL0015,2024-04-03,2024-05-03,664.48,128.53,112.11,Pagado,0
CL0015,2024-05-06,2024-06-05,559.54,98.2,96.09,Pagado,0
CL0015,2024-06-07,2024-07-07,184.79,34.88,31.98,Pagado,0
CL0016,2024-01-02,2024-02-01,706.13,195.85,176.33,Pagado,0
CL0016,2024-02-01,2024-03-02,795.45,217.49,152.15,Pendiente,919
CL0016,2024-03-05,2024-04-04,198.45,69.8,40.8,Pendiente,886
CL0016,2024-04-02,2024-05-02,445.86,132.22,108.39,Pagado,0
CL0016,2024-05-01,2024-05-31,442.8,131.31,124.83,Pagado,0
CL0016,2024-06-08,2024-07-08,341.51,90.42,83.78,Pagado,0
CL0017,2024-01-03,2024-02-02,618.35,121.18,118.58,Pagado,0
CL0017,2024-02-01,2024-03-02,295.31,50.88,43.29,Pagado,0
CL0017,2024-03-02,2024-04-01,368.3,83.06,56.55,Pendiente,889
CL0017,2024-04-08,2024-05-08,553.65,110.41,83.79,Pendiente,852
CL0017,2024-05-05,2024-06-04,338.22,61.4,57.64,Pagado,0
CL0017,2024-06-08,2024-07-08,286.94,58.87,51.82,Pagado,0
CL0018,2024-01-09,2024-02-08,831.64,202.98,149.5,Pendiente,942
CL0018,2024-02-01,2024-03-02,513.06,130.94,106.14,Pagado,0
CL0018,2024-03-07,2024-04-06,683.12,157.09,78.93,Pendiente,884
CL0018,2024-04-04,2024-05-04,401.56,107.95,106.71,Pagado,0
CL0018,2024-05-02,2024-06-01,605.32,159.66,101.78,Pendiente,828
CL0018,2024-05-31,2024-06-30,742.84,186.31,110.87,Pendiente,799
CL0019,2024-01-08,2024-02-07,182.9,38.54,33.94,Pagado,0
CL0019,2024-02-01,2024-03-02,780.56,143.34,130.63,Pagado,0
CL0019,2024-03-06,2024-04-05,657.66,119.34,62.39,Pendiente,885
CL0019,2024-04-05,2024-05-05,567.55,103.32,101.36,Pagado,0
CL0019,2024-05-03,2024-06-02,470.62,96.71,83.18,Pagado,0
CL0019,2024-06-06,2024-07-06,324.34,67.06,66.56,Pagado,0
CL0020,2024-01-05,2024-02-04,183.85,74.4,49.04,Pendiente,946
CL0020,2024-02-03,2024-03-04,761.49,203.26,165.98,Pagado,0
CL0020,2024-03-02,2024-04-01,199.94,72.69,37.57,Pendiente,889
CL0020,2024-04-01,2024-05-01,474.24,139.56,129.17,Pagado,0
CL0020,2024-05-07,2024-06-06,346.17,116.4,88.84,Pendiente,823
CL0020,2024-06-04,2024-07-04,284.14,99.47,76.04,Pendiente,795
CL0021,2024-01-09,2024-02-08,271.09,76.62,45.93,Pendiente,942
CL0021,2024-02-05,2024-03-06,652.24,170.95,87.49,Pendiente,915
CL0021,2024-03-09,2024-04-08,464.28,121.53,120.17,Pagado,0
CL0021,2024-04-07,2024-05-07,350.13,116.79,102.83,Pagado,0
CL0021,2024-05-03,2024-06-02,804.46,211.52,201.86,Pagado,0
CL0021,2024-06-06,2024-07-06,500.52,131.78,110.56,Pagado,0
CL0022,2024-01-05,2024-02-04,444.11,105.52,90.72,Pagado,0
CL0022,2024-02-07,2024-03-08,595.63,148.61,90.56,Pendiente,913
CL0022,2024-03-09,2024-04-08,656.84,174.24,149.96,Pagado,0
CL0022,2024-04-01,2024-05-01,473.75,133.93,95.17,Pendiente,859
CL0022,2024-05-03,2024-06-02,460.51,125.45,72.54,Pendiente,827
CL0022,2024-06-07,2024-07-07,536.25,123.14,95.53,Pendiente,792
CL0023,2024-01-06,2024-02-05,298.31,93.8,63.57,Pendiente,945
CL0023,2024-02-06,2024-03-07,262.08,84.32,57.24,Pendiente,914
CL0023,2024-03-03,2024-04-02,439.51,103.22,59.02,Pendiente,888
CL0023,2024-04-01,2024-05-01,599.34,137.27,104.07,Pendiente,859
CL0023,2024-05-03,2024-06-02,383.9,102.56,96.61,Pagado,0
CL0023,2024-06-04,2024-07-04,845.7,214.87,127.23,Pendiente,795
CL0024,2024-01-07,2024-02-06,623.49,155.93,115.9,Pendiente,944
CL0024,2024-02-07,2024-03-08,305.18,75.31,56.59,Pendiente,913
CL0024,2024-03-05,2024-04-04,711.95,180.29,159.17,Pagado,0
CL0024,2024-04-01,2024-05-01,283.7,85.98,46.03,Pendiente,859
CL0024,2024-05-07,2024-06-06,578.61,138.84,118.75,Pagado,0
CL0024,2024-06-03,2024-07-03,583.71,156.87,91.0,Pendiente,796
CL0025,2024-01-10,2024-02-09,457.92,89.18,57.27,Pendiente,941
CL0025,2024-02-04,2024-03-05,682.85,121.02,115.63,Pagado,0
CL0025,2024-03-07,2024-04-06,309.84,70.9,54.3,Pendiente,884
CL0025,2024-04-07,2024-05-07,307.22,71.89,36.16,Pendiente,853
CL0025,2024-05-03,2024-06-02,187.13,38.65,24.51,Pendiente,827
CL0025,2024-06-01,2024-07-01,622.61,99.96,97.1,Pagado,0
CL0026,2024-01-03,2024-02-02,317.48,86.03,66.86,Pendiente,948
CL0026,2024-02-07,2024-03-08,414.7,111.63,81.35,Pendiente,913
CL0026,2024-03-05,2024-04-04,677.36,156.95,97.34,Pendiente,886
CL0026,2024-04-01,2024-05-01,200.16,55.04,54.96,Pagado,0
CL0026,2024-05-09,2024-06-08,310.47,79.66,71.69,Pagado,0
CL0026,2024-06-01,2024-07-01,415.02,98.62,98.49,Pagado,0
CL0027,2024-01-07,2024-02-06,657.95,161.75,138.52,Pagado,0
CL0027,2024-02-09,2024-03-10,588.81,158.21,130.02,Pagado,0
CL0027,2024-03-06,2024-04-05,670.96,165.02,155.5,Pagado,0
CL0027,2024-04-03,2024-05-03,478.41,133.85,119.4,Pagado,0
CL0027,2024-05-02,2024-06-01,669.47,177.04,157.29,Pagado,0
CL0027,2024-06-02,2024-07-02,486.98,128.59,106.26,Pagado,0
CL0028,2024-01-09,2024-02-08,678.02,198.41,113.02,Pendiente,942
CL0028,2024-02-09,2024-03-10,278.23,81.1,77.04,Pagado,0
CL0028,2024-03-07,2024-04-06,597.69,173.51,93.37,Pendiente,884
CL0028,2024-04-01,2024-05-01,515.12,140.9,96.04,Pendiente,859
CL0028,2024-05-02,2024-06-01,513.04,143.06,124.97,Pagado,0
CL0028,2024-06-06,2024-07-06,616.31,182.67,162.55,Pagado,0
CL0029,2024-01-05,2024-02-04,723.75,119.69,72.59,Pendiente,946
CL0029,2024-02-02,2024-03-03,678.22,114.89,92.06,Pagado,0
